Line Number,Location path code,selection,source,word,menu,menu_ff
561,,HAPPY,FINAL,Happy,,FEELING
562,,HAPPY,FINAL,Happy,,FEELING
563,,HAPPY,FINAL,Happy,,FEELING
564,,NO LIKE,FINAL,No like,,FEELING
566,,TO PLAY,MENU,,TO PLAY,TO PLAY
567,,SNUGGLE,FINAL,snuggle,,TO PLAY
568,,GAMES,MENU,,GAMES,GAMES
569,,NUMBER MATCH,FINAL,number match,,GAMES
570,,MUSIC,MENU,,MUSIC,MUSIC
572,,BEETHOVEN & DVORAK,FINAL,Beethoven and Dvorak,,MUSIC
573,,TEMP AND WEATHER,MENU,,TEMP AND WEATHER,TEMP AND WEATHER
574,,HOT,MENU,,HOT,HOT
575,,HOT WIND BLOW DRYER,FINAL,Hot wind Blow dryer,,HOT
576,,SAY HELLO TO,MENU,,SAY HELLO TO,SAY HELLO TO
577,,BIRD FRIENDS,MENU,,BIRD FRIENDS,BIRD FRIENDS
578,,COOKIE,FINAL,Cookie,,BIRD FRIENDS
579,,COOKIE,FINAL,Cookie,,BIRD FRIENDS
580,,COOKIE,FINAL,Cookie,,BIRD FRIENDS
581,,COOKIE,FINAL,Cookie,,BIRD FRIENDS
582,,SAY HELLO TO,MENU,,SAY HELLO TO,SAY HELLO TO
589,,FEELING,MENU,,FEELING,FEELING
590,,HAPPY,FINAL,Happy,,FEELING
591,,HAPPY,FINAL,Happy,,FEELING
592,,HAPPY,FINAL,Happy,,FEELING
593,,SAY HELLO TO,MENU,,SAY HELLO TO,SAY HELLO TO
594,,FEELING,MENU,,FEELING,FEELING
595,,HAPPY,FINAL,Happy,,FEELING
596,,HAPPY,FINAL,Happy,,FEELING
597,,TALK ABOUT,MENU,,TALK ABOUT,TALK ABOUT
598,,HOLIDAY,FINAL,Holiday,,TALK ABOUT
599,,TEMP AND WEATHER,MENU,,TEMP AND WEATHER,TEMP AND WEATHER
600,,COOL,MENU,,COOL,COOL
601,,I FEEL COOL,FINAL,I feel cool,,COOL
603,,I WANT TO FEEL COOL,FINAL,I want to feel cool,,COOL
605,,SAY HELLO TO,MENU,,SAY HELLO TO,SAY HELLO TO
606,,CORI,FINAL,Cori,,SAY HELLO TO
607,,CORI,FINAL,Cori,,SAY HELLO TO
609,,TALK ABOUT,MENU,,TALK ABOUT,TALK ABOUT
610,,TEMP AND WEATHER,FINAL,Temp and Weather,,TALK ABOUT
611,,FEELING,FINAL,Feeling,,TALK ABOUT
613,,TO PLAY,MENU,,TO PLAY,TO PLAY
614,,SNUGGLE,FINAL,Snuggle,,TO PLAY
615,,BOOK,MENU,,BOOK,BOOK
616,,TOUCH AND FEEL,FINAL,Touch and Feel,,BOOK
618,,EXPERIENCE,MENU,,EXPERIENCE,EXPERIENCE
619,,TILLIE,FINAL,Tillie,,EXPERIENCE
620,,SMELL,FINAL,Smell,,EXPERIENCE
621,,SMELL,FINAL,Smell,,EXPERIENCE
622,,TASTE,FINAL,Taste,,EXPERIENCE
623,,SMELL,FINAL,Smell,,EXPERIENCE
624,,SMELL,FINAL,Smell,,EXPERIENCE
625,,SMELL,FINAL,Smell,,EXPERIENCE
626,,TASTE,FINAL,Taste,,EXPERIENCE
627,,TASTE,FINAL,Taste,,EXPERIENCE
