Line Number,Location path code,selection,source,word,menu,menu_ff
2992,,LIKE,FINAL,Like,,ABOUT ME
2993,,NO LIKE,FINAL,No like,,ABOUT ME
2994,,NO LIKE,FINAL,No like,,ABOUT ME
2995,,TODAY,FINAL,Today,,ABOUT ME
2996,,NO LIKE,FINAL,No like,,ABOUT ME
2997,,NO LIKE,FINAL,No like,,ABOUT ME
2998,,OUCH,FINAL,Ouch,,ABOUT ME
2999,,OUCH,FINAL,Ouch,,ABOUT ME
3000,,TODAY,FINAL,Today,,ABOUT ME
3001,,TODAY,FINAL,Today,,ABOUT ME
3002,,LIKE,FINAL,Like,,ABOUT ME
3003,,LIKE,FINAL,Like,,ABOUT ME
3004,,NO,FINAL,No ,,ABOUT ME
3005,,NO,FINAL,No,,ABOUT ME
3006,,NO LIKE,FINAL,No like,,ABOUT ME
3007,,ABOUT ME,MENU,,ABOUT ME,ABOUT ME
3008,,FEELINGS,MENU,,FEELINGS,FEELINGS
3009,,MAD,MENU,,MAD,MAD
3010,,I WANT TO FEEL MAD,FINAL,I want to feel mad,,MAD
3011,,SAY HELLO TO,MENU,,SAY HELLO TO,SAY HELLO TO
3012,,CAR RIDE,FINAL,Car ride,,SAY HELLO TO
3013,,CAR RIDE,FINAL,Car ride,,SAY HELLO TO
3014,,CORI,FINAL,Cori,,SAY HELLO TO
3015,,CORI,FINAL,Cori,,SAY HELLO TO
3016,,SIERRA,FINAL,Sierra,,SAY HELLO TO
3017,,CASSIE,FINAL,Cassie,,SAY HELLO TO
3018,,CASSIE,FINAL,Cassie,,SAY HELLO TO
3019,,ABOUT ME,MENU,,ABOUT ME,ABOUT ME
3020,,GOLF CART RIDE,MENU,,GOLF CART RIDE,GOLF CART RIDE
3021,,GOLF CART RIDE,MENU,,GOLF CART RIDE,GOLF CART RIDE
3022,,LIKE,MENU,,LIKE,LIKE
3023,,LIKE,MENU,,LIKE,LIKE
3024,,GOLF CART RIDE,MENU,,GOLF CART RIDE,GOLF CART RIDE
